degC,V_pu,Q_MVAr,P_MW
35,1,-4.594246402,0.23
35,1,-4.576942211,0.46
35,1,-4.547955585,0.69
35,1,-4.507061127,0.92
35,1,-4.453930848,1.15
35,1,-4.388120327,1.38
35,1,-4.309048619,1.61
35,1,-4.215969639,1.84
35,1,-4.107931353,2.07
35,1,-3.983716857,2.3
35,1,-3.956802244,2.346
35,1,-3.929164797,2.392
35,1,-3.900789151,2.438
35,1,-3.871659076,2.484
35,1,-3.84175741,2.53
35,1,-3.811065993,2.576
35,1,-3.779565584,2.622
35,1,-3.747235781,2.668
35,1,-3.714054927,2.714
35,1,-3.68,2.76
35,1,-3.645046502,2.806
35,1,-3.609168325,2.852
35,1,-3.57233761,2.898
35,1,-3.534524579,2.944
35,1,-3.495697355,2.99
35,1,-3.455821755,3.036
35,1,-3.414861051,3.082
35,1,-3.372775711,3.128
35,1,-3.329523089,3.174
35,1,-3.285057077,3.22
35,1,-3.239327708,3.266
35,1,-3.192280689,3.312
35,1,-3.143856867,3.358
35,1,-3.093991597,3.404
35,1,-3.042614008,3.45
35,1,-2.989646133,3.496
35,1,-2.935001874,3.542
35,1,-2.878585764,3.588
35,1,-2.820291474,3.634
35,1,-2.76,3.68
35,1,-2.697577432,3.726
35,1,-2.632872196,3.772
35,1,-2.565711597,3.818
35,1,-2.495897434,3.864
35,1,-2.423200363,3.91
35,1,-2.347352551,3.956
35,1,-2.268037919,4.002
35,1,-2.184878944,4.048
35,1,-2.097418413,4.094
35,1,-2.005093514,4.14
35,1,-1.907197945,4.186
35,1,-1.802824451,4.232
35,1,-1.690773787,4.278
35,1,-1.569402434,4.324
35,1,-1.43634954,4.37
35,1,-1.288,4.416
35,1,-1.118282612,4.462
35,1,-0.915388442,4.508
35,1,-0.648909855,4.554
35,1,0,4.6
35,1,4.6,0
35,1,4.594246402,-0.23
35,1,4.576942211,-0.46
35,1,4.547955585,-0.69
35,1,4.507061127,-0.92
35,1,4.453930848,-1.15
35,1,4.388120327,-1.38
35,1,4.309048619,-1.61
35,1,4.215969639,-1.84
35,1,4.107931353,-2.07
35,1,3.983716857,-2.3
35,1,3.956802244,-2.346
35,1,3.929164797,-2.392
35,1,3.900789151,-2.438
35,1,3.871659076,-2.484
35,1,3.84175741,-2.53
35,1,3.811065993,-2.576
35,1,3.779565584,-2.622
35,1,3.747235781,-2.668
35,1,3.714054927,-2.714
35,1,3.68,-2.76
35,1,3.645046502,-2.806
35,1,3.609168325,-2.852
35,1,3.57233761,-2.898
35,1,3.534524579,-2.944
35,1,3.495697355,-2.99
35,1,3.455821755,-3.036
35,1,3.414861051,-3.082
35,1,3.372775711,-3.128
35,1,3.329523089,-3.174
35,1,3.285057077,-3.22
35,1,3.239327708,-3.266
35,1,3.192280689,-3.312
35,1,3.143856867,-3.358
35,1,3.093991597,-3.404
35,1,3.042614008,-3.45
35,1,2.989646133,-3.496
35,1,2.935001874,-3.542
35,1,2.878585764,-3.588
35,1,2.820291474,-3.634
35,1,2.76,-3.68
35,1,2.697577432,-3.726
35,1,2.632872196,-3.772
35,1,2.565711597,-3.818
35,1,2.495897434,-3.864
35,1,2.423200363,-3.91
35,1,2.347352551,-3.956
35,1,2.268037919,-4.002
35,1,2.184878944,-4.048
35,1,2.097418413,-4.094
35,1,2.005093514,-4.14
35,1,1.907197945,-4.186
35,1,1.802824451,-4.232
35,1,1.690773787,-4.278
35,1,1.569402434,-4.324
35,1,1.43634954,-4.37
35,1,1.288,-4.416
35,1,1.118282612,-4.462
35,1,0.915388442,-4.508
35,1,0.648909855,-4.554
35,1,0,-4.6
35,1,-4.6,0
35,1,-4.594246402,-0.23
35,1,-4.576942211,-0.46
35,1,-4.547955585,-0.69
35,1,-4.507061127,-0.92
35,1,-4.453930848,-1.15
35,1,-4.388120327,-1.38
35,1,-4.309048619,-1.61
35,1,-4.215969639,-1.84
35,1,-4.107931353,-2.07
35,1,-3.983716857,-2.3
35,1,-3.956802244,-2.346
35,1,-3.929164797,-2.392
35,1,-3.900789151,-2.438
35,1,-3.871659076,-2.484
35,1,-3.84175741,-2.53
35,1,-3.811065993,-2.576
35,1,-3.779565584,-2.622
35,1,-3.747235781,-2.668
35,1,-3.714054927,-2.714
35,1,-3.68,-2.76
35,1,-3.645046502,-2.806
35,1,-3.609168325,-2.852
35,1,-3.57233761,-2.898
35,1,-3.534524579,-2.944
35,1,-3.495697355,-2.99
35,1,-3.455821755,-3.036
35,1,-3.414861051,-3.082
35,1,-3.372775711,-3.128
35,1,-3.329523089,-3.174
35,1,-3.285057077,-3.22
35,1,-3.239327708,-3.266
35,1,-3.192280689,-3.312
35,1,-3.143856867,-3.358
35,1,-3.093991597,-3.404
35,1,-3.042614008,-3.45
35,1,-2.989646133,-3.496
35,1,-2.935001874,-3.542
35,1,-2.878585764,-3.588
35,1,-2.820291474,-3.634
35,1,-2.76,-3.68
35,1,-2.697577432,-3.726
35,1,-2.632872196,-3.772
35,1,-2.565711597,-3.818
35,1,-2.495897434,-3.864
35,1,-2.423200363,-3.91
35,1,-2.347352551,-3.956
35,1,-2.268037919,-4.002
35,1,-2.184878944,-4.048
35,1,-2.097418413,-4.094
35,1,-2.005093514,-4.14
35,1,-1.907197945,-4.186
35,1,-1.802824451,-4.232
35,1,-1.690773787,-4.278
35,1,-1.569402434,-4.324
35,1,-1.43634954,-4.37
35,1,-1.288,-4.416
35,1,-1.118282612,-4.462
35,1,-0.915388442,-4.508
35,1,-0.648909855,-4.554
35,1,0,-4.6
35,1.1,3.680954376,0
35,1.1,3.680954376,0.230059649
35,1.1,3.680954376,0.460119297
35,1.1,3.680954376,0.690178946
35,1.1,3.680954376,0.920238594
35,1.1,3.680954376,1.150298243
35,1.1,3.680954376,1.380357891
35,1.1,3.680954376,1.61041754
35,1.1,3.680954376,1.840477188
35,1.1,3.680954376,2.070536837
35,1.1,3.680954376,2.300596485
35,1.1,3.680954376,2.346608415
35,1.1,3.680954376,2.392620345
35,1.1,3.680954376,2.438632274
35,1.1,3.680954376,2.484644204
35,1.1,3.680954376,2.530656134
35,1.1,3.680954376,2.576668063
35,1.1,3.680954376,2.622679993
35,1.1,3.680954376,2.668691923
35,1.1,3.680954376,2.714703852
35,1.1,3.680954376,2.760715782
35,1.1,3.645991813,2.806727712
35,1.1,3.610104332,2.852739642
35,1.1,3.573264065,2.898751571
35,1.1,3.535441228,2.944763501
35,1.1,3.496603934,2.990775431
35,1.1,3.456717992,3.03678736
35,1.1,3.415746666,3.08279929
35,1.1,3.373650412,3.12881122
35,1.1,3.330386572,3.17482315
35,1.1,3.285909028,3.220835079
35,1.1,3.2401678,3.266847009
35,1.1,3.19310858,3.312858939
35,1.1,3.144672199,3.358870868
35,1.1,3.094793997,3.404882798
35,1.1,3.043403083,3.450894728
35,1.1,2.990421472,3.496906657
35,1.1,2.935763041,3.542918587
35,1.1,2.8793323,3.588930517
35,1.1,2.821022893,3.634942447
35,1.1,2.760715782,3.680954376
35,1.1,2.698277025,3.726966306
35,1.1,2.633555009,3.772978236
35,1.1,2.566376992,3.818990165
35,1.1,2.496544723,3.865002095
35,1.1,2.423828799,3.911014025
35,1.1,2.347961317,3.957025954
35,1.1,2.268626115,4.003037884
35,1.1,2.185445574,4.049049814
35,1.1,2.097962361,4.095061744
35,1.1,2.005613518,4.141073673
35,1.1,1.90769256,4.187085603
35,1.1,1.803291998,4.233097533
35,1.1,1.691212275,4.279109462
35,1.1,1.569809445,4.325121392
35,1.1,1.436722044,4.371133322
35,1.1,1.288334032,4.417145251
35,1.1,1.118572629,4.463157181
35,1.1,0.91562584,4.509169111
35,1.1,0.649078144,4.555181041
35,1.1,0,4.60119297
35,1.1,-4.6,0
35,1.1,-4.59543788,0.230059649
35,1.1,-4.578129201,0.460119297
35,1.1,-4.549135058,0.690178946
35,1.1,-4.508229994,0.920238594
35,1.1,-4.455085937,1.150298243
35,1.1,-4.389258348,1.380357891
35,1.1,-4.310166133,1.61041754
35,1.1,-4.217063015,1.840477188
35,1.1,-4.108996709,2.070536837
35,1.1,-3.98475,2.300596485
35,1.1,-3.957828407,2.346608415
35,1.1,-3.930183792,2.392620345
35,1.1,-3.901800787,2.438632274
35,1.1,-3.872663157,2.484644204
35,1.1,-3.842753737,2.530656134
35,1.1,-3.81205436,2.576668063
35,1.1,-3.780545781,2.622679993
35,1.1,-3.748207594,2.668691923
35,1.1,-3.715018135,2.714703852
35,1.1,-3.680954376,2.760715782
35,1.1,-3.645991813,2.806727712
35,1.1,-3.610104332,2.852739642
35,1.1,-3.573264065,2.898751571
35,1.1,-3.535441228,2.944763501
35,1.1,-3.496603934,2.990775431
35,1.1,-3.456717992,3.03678736
35,1.1,-3.415746666,3.08279929
35,1.1,-3.373650412,3.12881122
35,1.1,-3.330386572,3.17482315
35,1.1,-3.285909028,3.220835079
35,1.1,-3.2401678,3.266847009
35,1.1,-3.19310858,3.312858939
35,1.1,-3.144672199,3.358870868
35,1.1,-3.094793997,3.404882798
35,1.1,-3.043403083,3.450894728
35,1.1,-2.990421472,3.496906657
35,1.1,-2.935763041,3.542918587
35,1.1,-2.8793323,3.588930517
35,1.1,-2.821022893,3.634942447
35,1.1,-2.760715782,3.680954376
35,1.1,-2.698277025,3.726966306
35,1.1,-2.633555009,3.772978236
35,1.1,-2.566376992,3.818990165
35,1.1,-2.496544723,3.865002095
35,1.1,-2.423828799,3.911014025
35,1.1,-2.347961317,3.957025954
35,1.1,-2.268626115,4.003037884
35,1.1,-2.185445574,4.049049814
35,1.1,-2.097962361,4.095061744
35,1.1,-2.005613518,4.141073673
35,1.1,-1.90769256,4.187085603
35,1.1,-1.803291998,4.233097533
35,1.1,-1.691212275,4.279109462
35,1.1,-1.569809445,4.325121392
35,1.1,-1.436722044,4.371133322
35,1.1,-1.288334032,4.417145251
35,1.1,-1.118572629,4.463157181
35,1.1,-0.91562584,4.509169111
35,1.1,-0.649078144,4.555181041
35,1.1,0,4.60119297
35,1.1,4.6,0
35,1.1,4.59543788,-0.230059649
35,1.1,4.578129201,-0.460119297
35,1.1,4.549135058,-0.690178946
35,1.1,4.508229994,-0.920238594
35,1.1,4.455085937,-1.150298243
35,1.1,4.389258348,-1.380357891
35,1.1,4.310166133,-1.61041754
35,1.1,4.217063015,-1.840477188
35,1.1,4.108996709,-2.070536837
35,1.1,3.98475,-2.300596485
35,1.1,3.957828407,-2.346608415
35,1.1,3.930183792,-2.392620345
35,1.1,3.901800787,-2.438632274
35,1.1,3.872663157,-2.484644204
35,1.1,3.842753737,-2.530656134
35,1.1,3.81205436,-2.576668063
35,1.1,3.780545781,-2.622679993
35,1.1,3.748207594,-2.668691923
35,1.1,3.715018135,-2.714703852
35,1.1,3.680954376,-2.760715782
35,1.1,3.645991813,-2.806727712
35,1.1,3.610104332,-2.852739642
35,1.1,3.573264065,-2.898751571
35,1.1,3.535441228,-2.944763501
35,1.1,3.496603934,-2.990775431
35,1.1,3.456717992,-3.03678736
35,1.1,3.415746666,-3.08279929
35,1.1,3.373650412,-3.12881122
35,1.1,3.330386572,-3.17482315
35,1.1,3.285909028,-3.220835079
35,1.1,3.2401678,-3.266847009
35,1.1,3.19310858,-3.312858939
35,1.1,3.144672199,-3.358870868
35,1.1,3.094793997,-3.404882798
35,1.1,3.043403083,-3.450894728
35,1.1,2.990421472,-3.496906657
35,1.1,2.935763041,-3.542918587
35,1.1,2.8793323,-3.588930517
35,1.1,2.821022893,-3.634942447
35,1.1,2.760715782,-3.680954376
35,1.1,2.698277025,-3.726966306
35,1.1,2.633555009,-3.772978236
35,1.1,2.566376992,-3.818990165
35,1.1,2.496544723,-3.865002095
35,1.1,2.423828799,-3.911014025
35,1.1,2.347961317,-3.957025954
35,1.1,2.268626115,-4.003037884
35,1.1,2.185445574,-4.049049814
35,1.1,2.097962361,-4.095061744
35,1.1,2.005613518,-4.141073673
35,1.1,1.90769256,-4.187085603
35,1.1,1.803291998,-4.233097533
35,1.1,1.691212275,-4.279109462
35,1.1,1.569809445,-4.325121392
35,1.1,1.436722044,-4.371133322
35,1.1,1.288334032,-4.417145251
35,1.1,1.118572629,-4.463157181
35,1.1,0.91562584,-4.509169111
35,1.1,0.649078144,-4.555181041
35,1.1,0,-4.60119297
35,1.1,-4.6,0
35,1.1,-4.59543788,-0.230059649
35,1.1,-4.578129201,-0.460119297
35,1.1,-4.549135058,-0.690178946
35,1.1,-4.508229994,-0.920238594
35,1.1,-4.455085937,-1.150298243
35,1.1,-4.389258348,-1.380357891
35,1.1,-4.310166133,-1.61041754
35,1.1,-4.217063015,-1.840477188
35,1.1,-4.108996709,-2.070536837
35,1.1,-3.98475,-2.300596485
35,1.1,-3.957828407,-2.346608415
35,1.1,-3.930183792,-2.392620345
35,1.1,-3.901800787,-2.438632274
35,1.1,-3.872663157,-2.484644204
35,1.1,-3.842753737,-2.530656134
35,1.1,-3.81205436,-2.576668063
35,1.1,-3.780545781,-2.622679993
35,1.1,-3.748207594,-2.668691923
35,1.1,-3.715018135,-2.714703852
35,1.1,-3.680954376,-2.760715782
35,1.1,-3.645991813,-2.806727712
35,1.1,-3.610104332,-2.852739642
35,1.1,-3.573264065,-2.898751571
35,1.1,-3.535441228,-2.944763501
35,1.1,-3.496603934,-2.990775431
35,1.1,-3.456717992,-3.03678736
35,1.1,-3.415746666,-3.08279929
35,1.1,-3.373650412,-3.12881122
35,1.1,-3.330386572,-3.17482315
35,1.1,-3.285909028,-3.220835079
35,1.1,-3.2401678,-3.266847009
35,1.1,-3.19310858,-3.312858939
35,1.1,-3.144672199,-3.358870868
35,1.1,-3.094793997,-3.404882798
35,1.1,-3.043403083,-3.450894728
35,1.1,-2.990421472,-3.496906657
35,1.1,-2.935763041,-3.542918587
35,1.1,-2.8793323,-3.588930517
35,1.1,-2.821022893,-3.634942447
35,1.1,-2.760715782,-3.680954376
35,1.1,-2.698277025,-3.726966306
35,1.1,-2.633555009,-3.772978236
35,1.1,-2.566376992,-3.818990165
35,1.1,-2.496544723,-3.865002095
35,1.1,-2.423828799,-3.911014025
35,1.1,-2.347961317,-3.957025954
35,1.1,-2.268626115,-4.003037884
35,1.1,-2.185445574,-4.049049814
35,1.1,-2.097962361,-4.095061744
35,1.1,-2.005613518,-4.141073673
35,1.1,-1.90769256,-4.187085603
35,1.1,-1.803291998,-4.233097533
35,1.1,-1.691212275,-4.279109462
35,1.1,-1.569809445,-4.325121392
35,1.1,-1.436722044,-4.371133322
35,1.1,-1.288334032,-4.417145251
35,1.1,-1.118572629,-4.463157181
35,1.1,-0.91562584,-4.509169111
35,1.1,-0.649078144,-4.555181041
35,1.1,0,-4.60119297
40,0.9,3.996,0
40,0.9,3.991001874,0.1998
40,0.9,3.975969799,0.3996
40,0.9,3.950789243,0.5994
40,0.9,3.915264405,0.7992
40,0.9,3.869110363,0.999
40,0.9,3.811941049,1.1988
40,0.9,3.7432518,1.3986
40,0.9,3.662394495,1.5984
40,0.9,3.568542106,1.7982
40,0.9,3.460637514,1.998
40,0.9,3.437256906,2.03796
40,0.9,3.413248376,2.07792
40,0.9,3.388598575,2.11788
40,0.9,3.363293406,2.15784
40,0.9,3.337317959,2.1978
40,0.9,3.310656458,2.23776
40,0.9,3.283292189,2.27772
40,0.9,3.255207431,2.31768
40,0.9,3.226383367,2.35764
40,0.9,3.1968,2.3976
40,0.9,3.166436048,2.43756
40,0.9,3.135268832,2.47752
40,0.9,3.10327415,2.51748
40,0.9,3.070426134,2.55744
40,0.9,3.036697094,2.5974
40,0.9,3.002057333,2.63736
40,0.9,2.966474948,2.67732
40,0.9,2.929915596,2.71728
40,0.9,2.892342231,2.75724
40,0.9,2.8537148,2.7972
40,0.9,2.813989896,2.83716
40,0.9,2.773120355,2.87712
40,0.9,2.731054791,2.91708
40,0.9,2.687737048,2.95704
40,0.9,2.64310556,2.997
40,0.9,2.597092597,3.03696
40,0.9,2.549623367,3.07692
40,0.9,2.500614937,3.11688
40,0.9,2.449974942,3.15684
40,0.9,2.3976,3.1968
40,0.9,2.343373786,3.23676
40,0.9,2.287164629,3.27672
40,0.9,2.228822509,3.31668
40,0.9,2.168175249,3.35664
40,0.9,2.10502362,3.3966
40,0.9,2.039134955,3.43656
40,0.9,1.970234679,3.47652
40,0.9,1.897994839,3.51648
40,0.9,1.822018256,3.55644
40,0.9,1.741816018,3.5964
40,0.9,1.656774562,3.63636
40,0.9,1.566105762,3.67632
40,0.9,1.468767838,3.71628
40,0.9,1.363333071,3.75624
40,0.9,1.2477506,3.7962
40,0.9,1.11888,3.83616
40,0.9,0.971447243,3.87612
40,0.9,0.79519396,3.91608
40,0.9,0.56370517,3.95604
40,0.9,0,3.996
40,0.9,-3.996,0
40,0.9,-3.996,0.00003996
40,0.9,-3.991001874,0.1998
40,0.9,-3.975969799,0.3996
40,0.9,-3.950789243,0.5994
40,0.9,-3.915264405,0.7992
40,0.9,-3.869110363,0.999
40,0.9,-3.811941049,1.1988
40,0.9,-3.7432518,1.3986
40,0.9,-3.662394495,1.5984
40,0.9,-3.568542106,1.7982
40,0.9,-3.460637514,1.998
40,0.9,-3.437256906,2.03796
40,0.9,-3.413248376,2.07792
40,0.9,-3.388598575,2.11788
40,0.9,-3.363293406,2.15784
40,0.9,-3.337317959,2.1978
40,0.9,-3.310656458,2.23776
40,0.9,-3.283292189,2.27772
40,0.9,-3.255207431,2.31768
40,0.9,-3.226383367,2.35764
40,0.9,-3.1968,2.3976
40,0.9,-3.166436048,2.43756
40,0.9,-3.135268832,2.47752
40,0.9,-3.10327415,2.51748
40,0.9,-3.070426134,2.55744
40,0.9,-3.036697094,2.5974
40,0.9,-3.002057333,2.63736
40,0.9,-2.966474948,2.67732
40,0.9,-2.929915596,2.71728
40,0.9,-2.892342231,2.75724
40,0.9,-2.8537148,2.7972
40,0.9,-2.813989896,2.83716
40,0.9,-2.773120355,2.87712
40,0.9,-2.731054791,2.91708
40,0.9,-2.687737048,2.95704
40,0.9,-2.64310556,2.997
40,0.9,-2.597092597,3.03696
40,0.9,-2.549623367,3.07692
40,0.9,-2.500614937,3.11688
40,0.9,-2.449974942,3.15684
40,0.9,-2.3976,3.1968
40,0.9,-2.343373786,3.23676
40,0.9,-2.287164629,3.27672
40,0.9,-2.228822509,3.31668
40,0.9,-2.168175249,3.35664
40,0.9,-2.10502362,3.3966
40,0.9,-2.039134955,3.43656
40,0.9,-1.970234679,3.47652
40,0.9,-1.897994839,3.51648
40,0.9,-1.822018256,3.55644
40,0.9,-1.741816018,3.5964
40,0.9,-1.656774562,3.63636
40,0.9,-1.566105762,3.67632
40,0.9,-1.468767838,3.71628
40,0.9,-1.363333071,3.75624
40,0.9,-1.2477506,3.7962
40,0.9,-1.11888,3.83616
40,0.9,-0.971447243,3.87612
40,0.9,-0.79519396,3.91608
40,0.9,-0.56370517,3.95604
40,0.9,0,3.996
40,0.9,3.996,0
40,0.9,3.991001874,-0.1998
